STT;ID;Mô tả hàng (như tờ khai);Mã HS;Xuất xứ;Ngày khai;Thuế NK đã áp;Biểu thuế;C/O (form);CBPG;Số tờ khai;TỰ TIN / KHÔNG CHẮC (điền: TT / KC);Ghi chú của bộ phận khai báo (điền);[tham khảo] ghi chú hệ thống
1;gs-001;Thép không hợp kim cán phẳng (sơn sau khi mạ kẽm), dày 0.55mm x rộng 1360mm, carbon <0.6%, NPL sx bình nước nóng;7210.70.12;CN;2026-06-09;0%;ACFTA;form E;CBPG 34.27% (được miễn);108320312550;"";"";"C/O form E (ACFTA) E266316963822702; ưu đãi đặc biệt 0% (mã C); có thuế chống bán phá giá CBPG 34,27% mã G061 nhưng được miễn (GM); exporter Baosteel Singapore PTE nhưng mã nước CN; E31 SXXK, VAT miễn"
2;gs-002;Nhôm không hợp kim dạng thanh, 620x90mm, phụ tùng máy làm túi - Cooling holder insertion bar;7604.10.10;JP;2026-06-11;5%;MFN;-;CBPG 35.58% (áp dụng);108326239230;"";"";Thuế chống bán phá giá CBPG 35,58% (mã G088) được áp dụng (9.409.606 VND)
3;gs-003;Thép không hợp kim cán phẳng 0.8x80mm, mạ kẽm nhúng nóng, dạng cuộn;7212.30.13;AU;2026-06-16;5%;AANZFTA;form AANZ;CBPG (được miễn);108341270440;"";"";"C/O AANZ (B07, áp dụng mục 8); thuế CBPG - thuộc đối tượng KHÔNG chịu (mã GK); E31 NK miễn/GTGT không thu"
4;gs-004;Men sứ PE RTU HWT Enamel EMP6555 (dạng bột, NPL sản xuất bình nước nóng), mới 100%;3207.20.90;CN;2026-06-12;0%;ACFTA;form E;-;108334418950;"";"";C/O form E E267222820460026 ngày 10/06/2026 (ACFTA) -> thuế NK ưu đãi đặc biệt 0% (letter C). NL nhập SXXK (E31, XN210), VAT không chịu (VK120). Phụ phí LSS 1.883.209 VND (khoản điều chỉnh mã AD). Kha
5;gs-005;Bộ phận máy thổi màng nhựa - cụm trục lăn sợi carbon Phi22xL460mm (CFRP-roller);8477.90.39;DE;2026-06-17;0%;EVFTA;EVFTA self-certified origin (REX);-;108341162860;"";"";"Ưu đãi đặc biệt EVFTA (mã biểu thuế B25); C/O tự chứng nhận REX theo TT 14/2026/TT-BCT"
6;gs-006;Vòng đệm cách nhiệt bằng nhựa Phi742xT2mm (Insulating plate);3926.90.99;DE;2026-06-17;0%;EVFTA;EVFTA self-certified origin (REX);-;108341162860;"";"";"Ưu đãi đặc biệt EVFTA (mã biểu thuế B25); MFN cho HS này là 12% -> 0% nhờ C/O REX"
7;gs-007;Đáy bằng thép của bình nước nóng, dày 2.5mm, Phi576mm, cao 185mm;7326.90.99;AU;2026-06-16;0%;AANZFTA;form AANZ;-;108341270440;"";"";"C/O AANZ EC1326132800 (áp dụng mục 1,2,8,15), mã biểu thuế B07; E31 nhập SXXK NK miễn/GTGT không thu; nhập chung Cont/BL/INV với TK 108341376250/H11"
8;gs-008;Kính phẳng tôi nhiệt (kính an toàn), dày 3.2mm, KT 1955x1002mm, NPL sản xuất tấm năng lượng mặt trời;7007.19.90;CN;2026-06-18;0%;ACFTA;form E;-;108350611460;"";"";"C/O form E (ACFTA) E265693661700030 ngày 17/06/2026, ưu đãi 0% (mã C); exporter FLAT (Hong Kong) khai mã nước CN"
9;gs-009;Ống đồng (đồng tinh luyện, phi 7.94mm x 0.71mm), NPL sản xuất bộ phận làm nóng bình nước nóng điện, hiệu JINTIAN;7411.10.00;VN;2026-06-18;0%;ATIGA;form D;-;108353250240;"";"";"Nhập khẩu tại chỗ (NKTC) VN-VN; exporter & origin đều VN; C/O form D điện tử VN-VN, mã C 0%; hóa đơn bằng VND"
10;gs-010;Chi tiết ghép nối ống hình chữ T có ren R3/4M-DN15, dài 63mm, bằng đồng thau;7412.20.91;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ EC1426331571 (01/06/2026); VAT không chịu thuế (để trống)"
11;gs-011;Van giảm áp PR254, bằng đồng thau, đường kính trong ≤2,5cm;8481.10.21;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ; VAT không chịu thuế"
12;gs-012;Van an toàn nhiệt độ và áp lực 1/2x1000 HTEX1507, bằng đồng thau, dài 163mm;8481.40.10;AU;2026-06-22;0%;AANZFTA;form AANZ;-;108354699020;"";"";"E31 nhập SXXK; C/O AANZ; VAT không chịu thuế"
13;gs-013;Cuộn cảm bằng đồng, 3.12W, 12V/46Ohm/0.26A, đóng ngắt van tiết lưu;8504.50.93;CN;2026-06-22;0%;ACFTA;form E;-;108360951420;"";"";"E31 nhập SXXK; C/O form E E26MA2JQDRA90049 (16/06/2026); VAT không chịu thuế"
14;gs-014;Van tiết lưu bằng đồng, đường kính trong ≤2,5cm, phi 17.35mm, cao 78mm;8481.80.99;CN;2026-06-22;0%;ACFTA;form E;-;108360951420;"";"";"E31 nhập SXXK; C/O form E; VAT không chịu thuế"
15;gs-015;Van điều khiển bằng khí nén, bằng kim loại, 4 ngõ, KT 94.4x105mm;8481.80.82;CN;2026-06-22;0%;ACFTA;form E;-;108360951420;"";"";"E31 nhập SXXK; C/O form E; VAT không chịu thuế"
16;gs-016;Bộ ổn nhiệt tự động (hoạt động bằng điện 220V), dùng cho bình nước nóng;9032.10.00;CN;2026-06-23;0%;ACFTA;form E;-;108364401460;"";"";C/O form E (ACFTA) E266143234370006 mục 1 → NK 0% ưu đãi đặc biệt (ký hiệu C, mã B05). Người XK ghi ROBERTSHAW (THAILAND) LTD nhưng Mã nước = CN, xếp hàng Qingdao/CN. E31, VAT trống.
17;gs-017;Điện trở đốt nóng bằng điện (120V/1440W), NPL để sản xuất bình nước nóng;8516.80.30;CN;2026-07-04;0%;ACFTA;form E;-;108401022440;"";"";"E31 nhập SXXK; ưu đãi ACFTA theo C/O form E E267377927780139 ngày 30/06/2026 (mã áp thuế C, biểu thuế B05) → thuế NK 0%; VAT được miễn (VK120)."
18;gs-018;Bơm nhiệt dùng môi chất lạnh R290 (hiệu Solahart, Model 180559, 5Kw 220-240Vac/50Hz);8418.61.00;CN;2026-07-04;0%;ACFTA;form E;-;108401191400;"";"";"A41; ưu đãi ACFTA theo C/O form E 02261416650002040 ngày 29/06/2026 (mã áp thuế C, biểu thuế B05) → thuế NK 0%; VAT 10% (78.124.900 VND)."
19;gs-019;Bình chứa nước sinh hoạt bằng thép tráng men sứ, 325 lít, cách nhiệt PU, model T32SHER05, Solahart;7309.00.91;AU;2026-07-06;0%;AANZFTA;form AANZ;-;108407661610;"";"";"Ưu đãi đặc biệt AANZFTA (mã C, 0%); C/O form AANZ EC1326133605 (18/06/2026)"
20;gs-020;Bơm nhiệt (heat pump) Solahart SHW010KS-JEV-1, 10kW R407C 1PH 240V;8418.61.00;AU;2026-07-06;0%;AANZFTA;form AANZ;-;108407661610;"";"";"Ưu đãi AANZFTA (mã C, 0%); C/O form AANZ"
21;gs-021;Van đóng mở cảm biến nhiệt độ (bằng đồng thau, đường kính trong ≤2,5cm);8481.80.99;AU;2026-07-07;0%;AANZFTA;form AANZ;-;108410428710;"";"";"E31 SXXK không chịu VAT; ưu đãi AANZFTA mã C 0%; C/O form AANZ"
22;gs-022;Máy ép ủi túi, NGAI SHING DEVELOPMENT model NS-5502, 380V 3PH, SX 2016, đã qua sử dụng;8451.30.90;CN;2026-06-10;miễn (M);MFN;-;-;108322041111;"";"";"E13 chuyển hàng giữa 2 khu phi thuế quan (PTQ→PTQ, XNK33); exporter là DN VN (Tessellation Hoà Bình) nhưng origin CN; máy đã qua sử dụng; ô Thuế suất NK hiển thị 'M' không có %, thuế NK & VAT được miễ"
23;gs-023;Máy in phun nhiệt đơn màu (mực đen), Model P260E, 100-240VAC, mới 100%;8443.32.29;CN;2026-06-13;miễn (M);MFN;-;-;108328876460;"";"";DNCX (Detmold Packaging) nhập tạo TSCĐ E13: KHÔNG chịu thuế NK (mã miễn XNK32, ô thuế suất ghi 'M'/miễn, mã biểu thuế B30) và KHÔNG chịu VAT (VK130), không có % rate. Origin CN != exporter HK (Wuhan P
24;gs-024;Máy kiểm tra điện trở của bo mạch điện tử, kèm thiết bị ghi, hiệu ATG, Code A9, 230V 50Hz 10kA;9030.39.00;DE;2026-06-15;miễn (M);MFN;-;-;108342507120;"";"";"Nhập vào DNCX/khu phi thuế quan từ nước ngoài (E13, XNK32); Thuế suất NK để trống, mã M = không chịu thuế NK & GTGT; không có mức thuế in ra"
25;gs-025;Máy tính để bàn HP Pro Tower 280 G9 PCI, Core i5-13500, 16GB RAM, 512GB SSD (serial 4CE545CZX7);8471.41.10;CN;2026-06-17;miễn (M);MFN;-;-;108347363940;"";"";"Nhập vào DNCX (E13); người XK là NCC nội địa 'CN NETMARKS VN' mã nước VN nhưng xuất xứ hàng CN → origin≠exporter; mã M = không chịu thuế NK & GTGT (VK900/XNK90); 'IT-CO0089' là mã tài sản nội bộ, khôn"
26;gs-026;Máy tính xách tay Lenovo ThinkPad T14s Gen 6, Core Ultra 7 258V, RAM 32GB, SSD 1TB, 14 inch (Model 21QX00LEVA);8471.30.20;CN;2026-06-25;miễn (M);MFN;-;-;108371497840;"";"";"DNCX/EPE import (E13) - hàng không chịu thuế NK & GTGT (XNK90/VK900); Thuế suất fields blank. Origin CN but Người xuất khẩu is a Vietnamese domestic supplier (mã nước VN) -> origin != exporter."
27;gs-027;"Màn hình máy tính LViewsonic 18.5"" VA1903H-2";8528.52.00;CN;2026-06-25;miễn (M);MFN;-;-;108371497840;"";"";"DNCX/EPE import (E13) - không chịu thuế NK & GTGT (XNK90/VK900); rate blank. Origin CN vs exporter VN."
28;gs-028;Chuột vi tính không dây Bluetooth Logitech M650, màu đen;8471.60.40;CN;2026-06-25;miễn (M);MFN;-;-;108371497840;"";"";"DNCX/EPE import (E13) - không chịu thuế NK & GTGT (XNK90/VK900); rate blank. Origin CN vs exporter VN."
29;gs-029;Dây cáp dữ liệu bằng đồng, bọc cách điện cao su, có đầu nối, lõi 0.5cm, dài 5m;8544.11.90;CN;2026-06-25;miễn (M);MFN;-;-;108371497840;"";"";"DNCX/EPE import (E13) - không chịu thuế NK & GTGT (XNK90/VK900); rate blank. Origin CN vs exporter VN."
30;gs-030;Đinh rút, bằng nhôm hợp kim, kích thước đầu rút 13.6mm, NPL sản xuất tấm hấp thụ năng lượng mặt trời;7616.10.90;CN;2026-06-08;20%;MFN;-;-;108318295740;"";"";"origin CN ≠ exporter MY (Bossard Malaysia); E31 nhập SXXK, thuế NK 20% và VAT được miễn (XN210/VK120)"
31;gs-031;Dây cáp điện đã gắn đầu nối, vỏ nhựa, lõi đồng (mỗi lõi 0.25mm), dài 1200mm, 12VDC 0.2A, mới 100%;8544.42.94;CN;2026-06-15;17%;MFN;-;-;108336397520;"";"";"E31 NL nhập SXXK: thuế NK 17% (letter A, MFN) được MIỄN (mã XN210); VAT không chịu (VK120). Chung bill/invoice với TK 108339558830/A12. Không có C/O ưu đãi."
32;gs-032;Đầu cos bằng thép nối đầu dây cảm biến/dây điện, 250V, 3A (SXA-001T-P0.6);8536.90.94;CN;2026-06-15;25%;MFN;-;-;108339558830;"";"";""
33;gs-033;Thanh sứ của bộ phận phóng điện làm sạch bề mặt vật liệu in, 220V (Ceramic electrode TW460 TL524), phụ tùng thay thế máy in;6914.10.00;DK;2026-06-18;30%;MFN;-;-;108353419860;"";"";"Importer khác: Công ty TNHH Kyodo Printing (Việt Nam), không phải Rheem; HQ Biên Hòa Đồng Nai; H11 hàng mẫu không thanh toán; MFN 30%, VAT mã VB245 8%; origin DK = exporter DK (Vetaphone A/S)"
34;gs-034;Ống dẫn nước bằng nhựa PSU cứng, dài 550mm, phi 18mm, không có phụ kiện ghép nối;3917.29.29;JP;2026-06-22;17%;MFN;-;-;108361587130;"";"";"H11 nhập khác; hàng không có giá trị thương mại, trị giá 20 USD, PTTT KHONGTT (không thanh toán)"
35;gs-035;Motor dùng cho cánh quạt (động cơ xoay chiều 1 pha, Model YKT-40-6-248, hiệu Welling, 34W/240V/50Hz/6 cực);8501.40.19;CN;2026-07-02;20%;MFN;-;-;108396844620;"";"";E31 nhập SXXK: thuế NK & VAT được miễn (mã VK120/XN210), tỷ lệ 20% là mức MFN danh nghĩa. Người XK Welling International Hongkong Ltd (địa chỉ Hong Kong) khai mã nước = CN, trùng xuất xứ.
36;gs-036;Điện trở đốt nóng bằng điện, 220V, 2000W (NPL để sx bình nước nóng);8516.80.30;CN;2026-07-03;20%;MFN;-;-;108398341550;"";"";H11 (nhập khác): hàng mẫu không có giá trị thương mại, PTTT = KHONGTT. Thuế NK 20% + VAT 10% có nộp thực.
37;gs-037;Trục truyền động lõi thép, bề mặt phủ gốm công nghiệp, ĐK 165.30mm dài 1263.50mm, PTTT máy tráng phủ, mới 100%;8483.10.90;CN;2026-07-13;20%;MFN;-;-;108428970861;"";"";""
38;gs-038;Bo mạch điều khiển, model HE-812071, 24VDC, điều khiển bộ sàng biên - E+L PC BOARD;8537.10.19;DE;2026-06-13;15%;MFN;-;-;108324648940;"";"";origin DE ≠ exporter TW (Webcontrol Machinery, Taiwan)
39;gs-039;Thiết bị kiểm tra tín hiệu điện của bơm nhiệt (đo điện áp, dòng điện), 240V 10A, PN:EOLT035 (Jumbuck);9030.33.90;AU;2026-06-10;0%;MFN;-;-;108327977811;"";"";"A21 chuyển mục đích sử dụng từ TK G12 107798602661 (file 1) mục 1; người XK = người NK (Rheem VN, mã nước VN) nhưng xuất xứ hàng AU; nay nộp VAT 10%"
40;gs-040;Thiết bị biến trở kiểu dây quấn, 2500W 240V 10A, PN:EOLT036 (2500W Load Bank);8533.39.00;AU;2026-06-10;0%;MFN;-;-;108327977811;"";"";"A21 chuyển mục đích sử dụng từ TK G12 107798602661 mục 2; XK=NK Rheem VN, xuất xứ AU"
41;gs-041;Máy đọc mã vạch cầm tay (Unitech), Model MS339, 5VDC 300mA, mới 100%;8471.90.10;CN;2026-06-11;0%;MFN;-;-;108328747440;"";"";"Origin CN != exporter ES (Keonn Technologies, Tây Ban Nha; NSX Unitech-TQ). Hàng mẫu không thanh toán (H11). Chung bill với TK 108328742650/A41. Letter A = thuế suất ưu đãi/MFN 0%; VAT 10% có nộp (533"
42;gs-042;"Van tiết lưu bằng đồng (ĐK trong ≤2,5cm; 17.35mm, cao 77mm), NPL sản xuất bộ phận làm nóng bình nước nóng, mới 100%";8481.80.99;CN;2026-07-14;10%;MFN;-;-;108432724150;"";"";""
43;gs-043;Xi lanh thủy lực bằng thép không gỉ, model HOB-63x35x150ST+CB+Y (HY-030), Oil cylinder cho máy ghép khô;8412.21.00;TW;2026-06-13;0%;MFN;-;-;108324648940;"";"";""
44;gs-044;Hộp số motor, thép không gỉ, Model AE120-3/SVM90M, Reducer cho máy ghép khô;8483.40.90;TW;2026-06-13;10%;MFN;-;-;108324648940;"";"";""
45;gs-045;Màn hình hiển thị thông số, đơn sắc, model WCH-610D, 24VDC, Multi Display Meter cho máy ghép khô;8528.59.20;TW;2026-06-13;10%;MFN;-;-;108324648940;"";"";""
46;gs-046;Bo mạch điều khiển, model WT-009, 24VDC, điều khiển quạt hút - Circuit board cho máy ghép khô;8537.10.19;TW;2026-06-13;15%;MFN;-;-;108324648940;"";"";""
47;gs-047;Thanh chèn bằng sắt dạng dẹt, 620x50mm, phụ tùng máy làm túi - Cooling insertion bar;7326.90.99;JP;2026-06-11;10%;MFN;-;-;108326239230;"";"";""
48;gs-048;Máy cắt tem vải siêu âm (cắt nóng và lạnh), Model WS-348LR, 220V 50/60HZ 0.75KW, Shenzhen Wing Singa;8451.50.00;CN;2026-06-12;0%;MFN;-;-;108327253310;"";"";"exporter Wing Singa Machinery (HK) Limited, địa chỉ Kowloon HK nhưng mã nước CN; origin CN; MFN 0% (B01)"
49;gs-049;Thiết bị kiểm tra/đo lường bằng đầu quét cảm biến ánh sáng (quang học), căn chỉnh vị trí bản in cho máy in màng phim, mới 100%;9031.49.90;DE;2026-06-12;0%;MFN;-;-;108332132200;"";"";""
50;gs-050;Máy pha mực dung môi GOLDEN COLOR-24V (Solvent Based Ink Dispenser), Model GC-YL-YM24E, 220V/1.5KW, mới 100%, đồng bộ tháo rời;8479.82.10;CN;2026-06-12;0%;MFN;-;-;108333611740;"";"";""
51;gs-051;Đầu bảo vệ cos bằng nhựa PA66, màu trắng, L10xW10xH7mm (XAP-04V-1);3926.90.99;CN;2026-06-15;12%;MFN;-;-;108339558830;"";"";Nhập chung bill/invoice với TK 108336397520/E31 (B01 MFN)
52;gs-052;Dây cảm biến nhiệt độ 2m dùng cho module bơm nhiệt (AHC3.782.669-4A);9025.80.00;CN;2026-06-15;0%;MFN;-;-;108339558830;"";"";""
53;gs-053;Vòng đệm cao su lưu hóa D38x2.5mm, làm kín khớp nối hệ thống tiệt trùng phô mai;4016.93.90;AU;2026-06-16;3%;MFN;-;-;108340115810;"";"";"VAT 8% (mã VB245); B01 MFN dù xuất xứ AU"
54;gs-054;Bộ đếm số vòng quay động cơ (Encoder H209921B-600), 5-24VDC;9029.10.90;US;2026-06-15;0%;MFN;-;-;108340358600;"";"";"Xuất xứ US khác nước người XK (KR); hàng gửi từ Korea"
55;gs-055;Ống lót trục vòng bi bằng thép Phi90x200mm (Sleeve Housing);8482.99.00;KR;2026-06-15;0%;MFN;-;-;108340358600;"";"";""
